,code,Name,State,NPS.region,Park.type,Area_km2,NetworkCode,NetworkName,IandM,Aquatic.park,Level.1.ecoregion,Level.2.ecoregion,NPVULN.ecoregional.group,Air.pollution,At.risk.sp.ter,At.risk.sp.aqu,Back.velocity,Biome.shift,Drought.sum,Early.spring,Env.Diversity,Exotic.sp,Fire.change,Fire.hazard,Forest.pest,Forward.velocity,Invasion.risk,Landscape.integrity,Moisture,PC2,Precipitation,Sea.level.change,Snow,Temp.change,Temp.exceedance,Ter.tot.vul.score,Aqu.tot.vul.score,Nliv.tot.vul.score,Ter.national.quartile,Aqu.national.quartile,Nliv.national.quartile,Ter.ecoregional.quartile,Aqu.ecoregional.quartile,Nliv.ecoregional.quartile,High.impact.current.fire,High.impact.projected.fire,High.impact.fire.combined,High.impact.summer.drought,High.impact.sea.level.or.surge,High.impact.slr,High.impact.storm.surge,High.impact.forest.pest,High.impact.at.least.one,High.impact.types,National.priority,Ecoregional.priority,Comprehensive.nrva,NRVA.any,IVA.any,CRVA.any,CCVA.types
1,ABLI,Abraham Lincoln Birthplace National Historical Park,KY,SE,National Historical Park,1.370877086,CUPN,Cumberland Piedmont Network,1,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.80977633,0.33467812,NA,0.224187054,0.4,0.149967975,0.793141394,0.61335294,0.143030435,0.205044802,0.198845972,0.109512777,0.281480049,1,0.437439174,0.317760881,0.284041209,0.452842517,0,0.81537696,0.749964823,0.299392221,2.25699593,NA,1.568156432,3,NA,2,3,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
2,ACAD,Acadia National Park,ME,NE,National Park,156.9793851,NETN,Northeast Temperate Network,1,1,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,0.51762798,0.126876394,0,0.263355934,0.15,0.027920116,0.842573072,0.601209109,0.386592293,0.039443711,0.152082817,0.329034466,0.101898492,0.888888889,0.366952492,0.504440272,0.106688904,0.467586261,0.034941925,0.844582112,0.687934481,0.09638615,2.084989354,1.771372345,1.369476285,2,1,1,1,1,1,0,0,0_0,0,0,0,0,1,1,Pest,0,0,0,1,1,0,0_iva_0
3,ADAM,Adams National Historical Park,MA,NE,National Historical Park,0.055184972,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.639313437,NA,NA,3,NA,NA,2,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
4,AFBG,African Burial Ground National Monument,NY,NE,National Monument,0.001391896,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.624359799,NA,NA,3,NA,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
5,AGFO,Agate Fossil Beds National Monument,NE,MW,National Monument,12.32317469,NGPN,Northern Great Plains Network,1,1,GREAT PLAINS,SOUTH CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.563133247,0.1601118,0,0.201027724,0.6,0.350438503,0.765683135,0.635835227,0.136731964,0.360045141,0.443893078,0.18229221,0.140982941,1,0.103663787,0.658807046,0.348418423,0.903184288,0,0.763688941,0.750197357,0.071203455,2.4058271,2.407336053,1.795327844,4,4,4,4,3,3,0,0,0_0,0,0,0,0,1,1,Pest,1,0,0,0,0,0,0_0_0
6,ALKA,Ala Kahakai National Historic Trail,HI,PW,National Historic Trail,3.591609552,PACN,Pacific Islands Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0_0_0
7,ALAG,Alagnak Wild River,AK,AK,Wild River,125.0783117,SWAN,Southwest Alaska Network,1,1,TUNDRA,ALASKA TUNDRA,TUNDRA,NA,0.253573607,0,0.299266545,0.752941176,NA,NA,1,0.310299003,0.65092535,NA,1,0.22769501,0,0.416137037,1,0.287192093,0.452439504,0,0.688669561,0.79775273,NA,2.421495566,2.135802015,1.679749921,4,4,4,4,4,4,NA,1,NA,NA,0,NA,NA,1,1,Fire_Pest,1,1,0,0,0,0,0_0_0
8,ALFL,Alibates Flint Quarries National Monument,TX,IM,National Monument,5.547998879,SOPN,Southern Plains Network,1,1,GREAT PLAINS,SOUTH CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.628106363,0.072250851,0.5,0.211327515,0.6,0.383696297,0.839753501,0.645685621,0.160995924,0.266610747,0.687785022,0,0.306601739,1,0.228421943,0.72172103,0.764950843,0.425725805,0,0,0.560527471,0.237525493,2.334058514,2.389002144,1.64152055,3,4,3,3,2,2,0,0,0_0,1,0,0,0,0,1,Drought,1,1,0,0,0,0,0_0_0
9,ALPO,Allegheny Portage Railroad National Historic Site,PA,NE,National Historic Site,5.304908728,ERMN,Eastern Rivers and Mountains Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.778817936,0.138895924,NA,0.069181342,0.4,0.17450072,0.86271926,0.509493182,0.25775567,0.172951727,0.200803736,0.102276052,0.310866999,1,0.43656796,0.342110485,0.356977579,0.525581991,0,0.90089908,0.748045193,0.21020386,2.27934244,NA,1.62029602,3,NA,3,3,NA,3,0,1,0_1,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
10,AMME,American Memorial Park,MP,PW,Park,0.565914802,PACN,Pacific Islands Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0_0_0
11,AMIS,Amistad National Recreation Area,TX,IM,National Recreation Area,232.9590971,CHDN,Chihuahuan Desert Network,1,NA,NORTH AMERICAN DESERTS,WARM DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.437431609,0.244284552,NA,0.061232826,0.333333333,0.244079926,0.514765261,0.627633091,0.080940351,0.717678772,0.303248086,0,0.051672705,0.666666667,0.178687414,0.397524328,0.200617621,0.296745516,0,0,0.241899195,0.451624845,1.650997249,NA,1.198949698,1,NA,1,1,NA,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
12,ANDE,Andersonville National Historic Site,GA,SE,National Historic Site,2.108598797,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.261269427,NA,NA,1,NA,NA,1,1,0,1_0,0,0,0,0,1,1,Fire_Pest,0,0,0,0,0,0,0_0_0
13,ANJO,Andrew Johnson National Historic Site,TN,SE,National Historic Site,0.066721266,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2387668,NA,NA,1,NA,NA,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
14,ANIA,Aniakchak National Monument,AK,AK,National Monument,555.8350548,SWAN,Southwest Alaska Network,1,1,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,NA,0.819066616,0,1,0.258823529,NA,NA,0.521613377,0.130083565,0.337413536,NA,0,0.314902814,0,0.40097572,0.648633262,0.077841788,0.321715342,0.052619994,0.960380492,1,NA,2.20364243,1.751880225,1.60288261,4,3,3,4,3,4,NA,0,NA,NA,0,NA,NA,0,0,None,1,1,0,0,1,0,0_iva_0
15,ANIA,Aniakchak National Preserve,AK,AK,National Preserve,1886.080172,SWAN,Southwest Alaska Network,1,1,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,MARINE WEST COAST FOREST,NA,0.819066616,0,1,0.258823529,NA,NA,0.521613377,0.130083565,0.337413536,NA,0,0.314902814,0,0.40097572,0.648633262,0.077841788,0.321715342,0.052619994,0.960380492,1,NA,2.20364243,1.751880225,1.60288261,4,3,3,4,3,4,NA,0,NA,NA,0,NA,NA,0,0,None,1,1,0,0,1,0,0_iva_0
16,ANTI,Antietam National Battlefield,MD,NC,National Battlefield,13.1659596,NCRN,National Capital Region Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.389298632,NA,0.416168171,0.4,0.206321442,0.859358614,0.567584148,0.295672515,0.09050027,0.211513642,0.131863548,0.054711785,1,0.568902983,0.409306889,0.307128414,0.531288803,0,0.956101933,0.744232731,0.204292164,2.475121365,NA,1.751235292,4,NA,4,4,NA,4,0,0,0_0,0,0,0,0,0,0,None,1,1,0,1,0,0,0_0_0
17,APIS,Apostle Islands National Lakeshore,WI,MW,National Lakeshore,294.5182517,GLKN,Great Lakes Network,1,1,WATER,WATER,NORTHERN FORESTS AND PLAINS,0.80977633,0.140169688,0,0.277210213,0.2,0.158329796,0.818321411,0.649028303,0.199965087,0.145886229,0.070576962,0.135987015,0.172799518,0.666666667,0.257762846,0.342994076,0.156340973,0.660125733,0,0.665395581,0.847770849,0.041983423,2.06754871,1.926007765,1.500519909,2,2,2,1,1,1,0,0,0_0,0,0,0,0,0,0,None,0,0,1,1,0,0,nrva_0_0
18,APPA,Appalachian National Scenic Trail,ME,NE,National Scenic Trail,948.6229571,NETN,Northeast Temperate Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0,0.452454555,NA,0.196217242,0.533333333,0.11520407,0.841709033,0.459319847,0.113603681,0.166829605,0.287472709,0.212660928,0.145224604,0.986928105,0.368588388,0.32535661,0.331053893,0.467586261,0,0.810710142,0.683173563,0.198274284,2.087424164,NA,1.317302778,2,NA,1,1,NA,1,0,1,0_1,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
19,APCO,Appomattox Court House National Historical Park,VA,NE,National Historical Park,7.198044948,MIDN,Mid-Atlantic Network,1,1,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.80977633,0.243177989,0,0.133051235,0.4,0.10439249,0.775918333,0.620878057,0.263993317,0.094122132,0.37909095,0.13190953,0.055210108,1,0.371249095,0.280115019,0.25037412,0.419661533,0,0,0.67730495,0.259817335,2.028561687,1.910181273,1.259397527,1,2,1,1,1,1,0,0,0_0,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
20,ARCH,Arches National Park,UT,IM,National Park,309.4152457,NCPN,Northern Colorado Plateau Network,1,1,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.563133247,0.226042758,0,0.187686838,0.4,0.546729825,0.690308159,0.425235999,0.136507097,0.582368168,0.42421088,0.095551511,0.072233801,0.333333333,0.105562362,0.902227177,0.465333454,0.456820712,0,0.900112982,0.708065631,0.136661807,2.182549049,2.348813773,1.915936987,3,4,4,4,4,4,0,1,0_1,1,0,0,0,0,1,Drought,1,1,0,0,0,0,0_0_0
21,ARPO,Arkansas Post National Memorial,AR,MW,National Memorial,3.088792333,HTLN,Heartland Network,1,NA,EASTERN TEMPERATE FORESTS,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,SOUTHEASTERN AND TEXAS COASTAL PLAIN,0.80977633,0.466128215,NA,0.251285293,0.6,0.325926294,0.45526651,0.794786839,0.13404842,0.487368337,0.089067611,0.051745516,0.146535658,1,0.352023501,0.171231774,0.277104146,0.208388613,0,0,0.567533844,0.353019075,2.061332072,NA,1.279855122,2,NA,1,2,NA,2,0,1,0_1,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
22,ARHO,"Arlington House, The Robert E. Lee Memorial",VA,NC,National Memorial,0.065875501,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.678882167,NA,NA,3,NA,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
23,ASIS,Assateague Island National Seashore,MD,NE,National Seashore,197.2369094,NCBN,Northeast Coastal and Barrier Network,1,1,EASTERN TEMPERATE FORESTS,MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS,SOUTHEASTERN AND TEXAS COASTAL PLAIN,1,0.26682519,0,0.154096059,0,0,0.756218442,0.988205129,0.230994152,0.08846112,0.155455429,0.091899508,0.169170659,1,0.525683264,0.275475937,0.125788614,0.367972963,0.731632073,0,0.533591343,0.112087774,2.258715768,2.088105687,1.453931155,3,3,2,3,3,3,0,0,0_0,0,1,1,1,0,1,SLR,0,0,0,1,1,0,0_iva_0
24,AZRU,Aztec Ruins National Monument,NM,IM,National Monument,1.28149871,SCPN,Southern Colorado Plateau Network,1,NA,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.161456685,0.159760647,NA,0.140618111,0.6,0.359060896,0.807924772,0.52118834,0.204769311,0.34538016,0.550729454,0.095674363,0.165688126,0.666666667,0.337488562,0.639719733,0.458604583,0.314506526,0,0.873031199,0.642712125,0.201269316,2.11621954,NA,1.605932086,2,NA,3,3,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,1,0,0,0,0,0_0_0
25,BADL,Badlands National Park,SD,MW,National Park,982.3172182,NGPN,Northern Great Plains Network,1,1,GREAT PLAINS,WEST-CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.337561644,0.170366729,0,0.386649502,0.56,0.440689341,0.82231088,0.623564409,0.143375681,0.338502674,0.510291326,0.107398728,0.175386359,0.4,0.122352222,0.67353541,0.434705346,0.938391715,0,0.846122474,0.797709233,0.021455654,2.313877588,2.138750819,1.888505801,3,3,4,3,2,4,0,0,0_0,1,0,0,0,0,1,Drought,1,1,1,1,0,1,nrva_0_crva
26,BAND,Bandelier National Monument,NM,IM,National Monument,136.3126017,SCPN,Southern Colorado Plateau Network,1,1,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.378116806,0.166651533,0,0.093847995,0.6,0.230164981,0.850825104,0.36330189,0.17850514,0.32580457,0.770108503,0.290450985,0.025613152,0.888888889,0.29556028,0.595144375,0.670187933,0.174523304,0,0.887942652,0.580180766,0.281869352,2.276028619,2.176424643,1.724680176,3,3,4,4,4,3,1,0,1_0,0,0,0,0,1,1,Fire_Pest,1,1,0,0,0,0,0_0_0
27,BEPA,Belmont-Paul Women's Equality National Monument,DC,NC,National Monument,0.001395242,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.267822676,NA,NA,1,NA,NA,1,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
28,BEOL,Bent's Old Fort National Historic Site,CO,IM,National Historic Site,3.356827158,SOPN,Southern Plains Network,1,NA,GREAT PLAINS,SOUTH CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.337561644,0.157366702,NA,0.377152627,0.6,0.452059519,0.839592611,0.763067972,0.240649856,0.308829978,0.24070897,0,0.093993378,0.666666667,0.285794893,0.859117543,0.862180486,0.698093215,0,0,0.606463183,0.146149587,2.288366043,NA,1.696885071,3,NA,3,3,NA,2,0,0,0_0,1,0,0,0,0,1,Drought,0,0,0,0,0,0,0_0_0
29,BELA,Bering Land Bridge National Preserve,AK,AK,National Preserve,11270.93759,ARCN,Arctic Network,1,1,TUNDRA,ALASKA TUNDRA,TUNDRA,NA,0.748250052,0,0.8703262,0.176470588,NA,NA,0.853934283,0,1,NA,0.190260123,0.691275617,0.2,0.150686481,0.980239633,0.11495869,0.848153355,0.26930704,0.465635099,0.950484438,NA,2.557473581,2.170083959,1.971347849,4,4,4,4,4,4,NA,1,NA,NA,0,NA,NA,0,1,Fire,1,1,0,0,1,0,0_iva_0
30,BIBE,Big Bend National Park,TX,IM,National Park,3291.0528,CHDN,Chihuahuan Desert Network,1,1,NORTH AMERICAN DESERTS,WARM DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.63173275,0.508020513,0.25,0.117082394,0.4,0.191198044,0.528873187,0.508193,0.065937361,0.353923372,0.2318758,0,0.032674518,0.285714286,0.080662663,0.508410804,0.462496893,0.420020678,0,0,0.279136647,0.529486727,1.638615707,1.695460926,1.269659959,1,1,1,1,1,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
31,BICY,Big Cypress National Preserve,FL,SE,National Preserve,2952.248432,SFCN,South Florida/Caribbean Network,1,1,TROPICAL WET FORESTS,EVERGLADES,SOUTHEASTERN AND TEXAS COASTAL PLAIN,0.80977633,0.347470126,0,0.516954552,0.514285714,0.283142817,0.354478934,0.920282325,0.299824929,0.039443711,0.83025493,0.016009603,0.075016686,0.80952381,0.171415196,0.205102548,0.235634963,0.320208014,0.342891841,0,0.067508032,0.968227465,2.256554937,2.196179056,1.63683362,3,3,3,3,3,4,1,0,1_0,0,1,1,1,0,1,Fire_SLR,0,1,0,0,1,0,0_iva_0
32,BIHO,Big Hole National Battlefield,MT,PW,National Battlefield,3.955355334,UCBN,Upper Columbia Basin Network,1,NA,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.274314763,0.038548272,NA,0.021490843,0.4,0.380308924,0.046287759,0.260751384,0.095133527,0.609036225,0.777236417,0.610289395,0.54393117,0.333333333,0.076941971,0.672263474,0.230417356,0.420020678,0,0.521173119,0.769650688,0.17798453,1.948972123,NA,1.687174319,1,NA,3,1,NA,3,1,1,1_1,1,0,0,0,1,1,Fire_Drought_Pest,0,0,1,1,0,0,nrva_0_0
33,BISO,Big South Fork National River and Recreation Area,TN,SE,National River and Recreation Area,495.7573025,APHN,Appalachian Highlands Network,1,1,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.338890244,0.75,0.104326896,0.4,0.113938705,0.746495335,0.578248014,0.136164974,0.183894996,0.382248079,0.152664406,0.148194545,1,0.300401962,0.293652321,0.207542622,0.282693404,0,0.806941145,0.680629524,0.341596696,2.228147229,2.171237615,1.63017651,3,3,3,3,3,3,0,0,0_0,0,0,0,0,0,0,None,0,1,0,1,0,0,0_0_0
34,BITH,Big Thicket National Preserve,TX,IM,National Preserve,454.3811667,GULN,Gulf Coast Network,1,1,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,1,0.341172496,0,0.564979589,0.6,0.27037347,0.390166876,0.935954749,0.107544818,0.112767312,0.527998321,0.235437075,0.405322134,1,0.349585678,0.597815774,0.768167548,0.049117667,0.055964256,0,0.316076906,0.493109273,2.416196654,2.294502489,1.641849885,4,4,3,4,4,3,0,0,0_0,0,0,0,0,1,1,Pest,1,1,0,1,1,0,0_iva_0
35,BICA,Bighorn Canyon National Recreation Area,WY,IM,National Recreation Area,484.9265992,GRYN,Greater Yellowstone Network,1,NA,GREAT PLAINS,WEST-CENTRAL SEMIARID PRAIRIES,GREAT PLAINS,0.274314763,0.058192103,NA,0.388878015,0.44,0.483716005,0.691560005,0.40720566,0.158204998,0.58981353,0.601951856,0.224338346,0.117554988,0.583333333,0.107605491,0.590420452,0.087329793,0.660125733,0,0.681411646,0.763323693,0.07183141,2.072897914,NA,1.708431429,2,NA,3,1,NA,2,1,1,2_1,1,0,0,0,1,1,Fire_Drought_Pest,0,0,1,1,0,0,nrva_0_0
36,BISC,Biscayne National Park,FL,SE,National Park,703.4920305,SFCN,South Florida/Caribbean Network,1,1,TROPICAL WET FORESTS,EVERGLADES,SOUTHEASTERN AND TEXAS COASTAL PLAIN,0.80977633,0.55154951,0,0.372936696,0.3,0.099362763,0.380049219,0.8085835,0.324223154,0.039825693,0.338542963,0.003226009,0.340262285,1,0.789973169,0.280874283,0.481829748,0.324418381,0.387119423,0,0,0.991859243,2.34696661,2.281968919,1.524433945,3,4,2,4,4,3,1,0,1_0,0,1,1,1,0,1,Fire_SLR,1,1,0,0,1,0,0_iva_0
37,BLCA,Black Canyon of the Gunnison National Park,CO,IM,National Park,126.8930754,NCPN,Northern Colorado Plateau Network,1,1,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0,0.21871305,0,0.099236249,0.6,0.114759886,0.769563494,0.32945994,0.155841216,0.562800637,0.431188871,0.215705005,0.059564839,0.5,0.248462549,0.887954059,0.538849357,0.456820712,0,0.809427591,0.750467576,0.19128922,2.136085767,2.052830148,1.758633783,2,2,4,4,3,4,0,1,0_1,0,0,0,0,1,1,Pest,1,1,0,0,0,0,0_0_0
38,BLRI,Blue Ridge Parkway,NC,NT,Parkway,366.3431618,APHN,Appalachian Highlands Network,1,NA,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0,0.552034127,NA,0.181334727,0.377777778,0.044931603,0.771527605,0.424991856,0.142461374,0.126604743,0.33608601,0.166207522,0.105239405,1,0.382050697,0.183008629,0.181102278,0.335387718,0,0.854856059,0.617679244,0.338334007,1.999430955,NA,1.244945816,1,NA,1,1,NA,1,0,1,0_1,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
39,BLUE,Bluestone National Scenic River,WV,NE,National Scenic River,17.56137492,ERMN,Eastern Rivers and Mountains Network,1,1,EASTERN TEMPERATE FORESTS,OZARK/OUACHITA-APPALACHIAN FORESTS,INTERIOR SOUTHEAST PLAINS AND FOREST,0.80977633,0.230631279,0,0.212579525,0.4,0.057646827,0.797741044,0.517097522,0.136811987,0.133447876,0.322949805,0.177877004,0.202017414,1,0.403191266,0.261650441,0.321481017,0.324418381,0,0.858192269,0.577300258,0.324083386,2.156134759,2.038917447,1.491371837,2,2,2,2,2,2,0,0,0_0,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
40,BOWA,Booker T. Washington National Monument,VA,NE,National Monument,0.987260061,MIDN,Mid-Atlantic Network,1,1,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,0,0.243584977,0,0.112806163,0.4,0.114554592,0.790643534,0.597722125,0.03727534,0.078874799,0.246449377,0.066915045,0.021168149,1,0.394505838,0.238912982,0.283668932,0.374069009,0,0,0.659698452,0.268806251,1.800392474,1.597353445,0.940176489,1,1,1,1,1,1,0,0,0_0,0,0,0,0,0,0,None,0,0,0,1,0,0,0_0_0
41,BOAF,Boston African American National Historic Site,MA,NE,National Historic Site,0.002379884,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.664108805,NA,NA,3,NA,NA,3,0,0,0_0,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
42,BOHA,Boston Harbor Islands National Recreation Area,MA,NE,National Recreation Area,6.455787683,NETN,Northeast Temperate Network,1,NA,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,1,0.36356303,NA,0.307266273,0.8,0.114965181,0.870489096,0.704481694,0.413290508,0.10988127,0.11534923,0.150284733,0.068393499,1,0.863834552,0.45081809,0.381815694,0.543910249,0.296379517,0.916551247,0.654128624,0.031998774,2.665555995,NA,1.684250871,4,NA,3,4,NA,3,0,0,0_0,0,1,0,1,1,1,SLR_Pest,1,1,0,1,1,0,0_iva_0
43,BOST,Boston National Historical Park,MA,NE,National Historical Park,0.177663832,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,MIXED WOOD PLAINS,NORTHERN FORESTS AND PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.733750327,NA,NA,4,NA,NA,4,0,0,0_0,0,1,0,1,0,1,SLR,1,0,0,0,1,0,0_iva_0
44,BRCR,Brices Cross Roads National Battlefield Site,MS,SE,National Battlefield Site,0.004017344,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.387448754,NA,NA,2,NA,NA,2,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
45,BRVB,Brown v. Board of Education National Historic Site,KS,MW,National Historic Site,0.008286382,NA,NA,NA,NA,GREAT PLAINS,TEMPERATE PRAIRIES,GREAT PLAINS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.504465726,NA,NA,2,NA,NA,1,0,1,0_1,0,0,0,0,0,0,None,0,0,0,0,0,0,0_0_0
46,BRCA,Bryce Canyon National Park,UT,IM,National Park,145.6340891,NCPN,Northern Colorado Plateau Network,1,NA,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.337561644,0.35994179,NA,0.019212403,0.6,0.281195447,0.678704625,0.376744165,0.100330793,0.473567437,0.74325371,0.118220847,0.228925869,0.333333333,0.083329806,0.435782298,0.217755867,0.425725805,0,0.815449762,0.656162121,0.205437815,1.952689624,NA,1.606101234,1,NA,3,2,NA,3,1,1,1_1,0,0,0,0,0,1,Fire,0,0,0,1,0,0,0_0_0
47,BUIS,Buck Island Reef National Monument,VI,SE,National Monument,76.84146973,SFCN,South Florida/Caribbean Network,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0_iva_0
