,code,Name,State,NPS.region,Park.type,Area_km2,NetworkCode,NetworkName,IandM,Aquatic.park,Level.1.ecoregion,Level.2.ecoregion,NPVULN.ecoregional.group,Air.pollution,At.risk.sp.ter,At.risk.sp.aqu,Back.velocity,Biome.shift,Drought.sum,Early.spring,Env.Diversity,Exotic.sp,Fire.change,Fire.hazard,Forest.pest,Forward.velocity,Invasion.risk,Landscape.integrity,Moisture,PC2,Precipitation,Sea.level.change,Snow,Temp.change,Temp.exceedance,Ter.tot.vul.score,Aqu.tot.vul.score,Nliv.tot.vul.score,Ter.national.quartile,Aqu.national.quartile,Nliv.national.quartile,Ter.ecoregional.quartile,Aqu.ecoregional.quartile,Nliv.ecoregional.quartile,High.impact.current.fire,High.impact.projected.fire,High.impact.fire.combined,High.impact.summer.drought,High.impact.sea.level.or.surge,High.impact.slr,High.impact.storm.surge,High.impact.forest.pest,High.impact.at.least.one,High.impact.types,National.priority,Ecoregional.priority,Comprehensive.nrva,NRVA.any,IVA.any,CRVA.any,CCVA.types
164,GLAC,Glacier National Park,MT,IM,National Park,4079.642262,ROMN,Rocky Mountain Network,1,1,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.354644388,0,0,0.114351876,0.685714286,0.233258303,0.278357143,0.283929631,0.121339341,0.442964138,0.614612885,0.348551481,0.129812223,0.533333333,0.143250755,0.5996535,0.238723028,0.358003444,0,0.464893117,0.892870885,0.139092137,1.852291931,1.794125047,1.53751937,1,1,2,1,1,1,1,1,1_1,0,0,0,0,1,1,Fire_Pest,0,0,1,1,0,0,nrva_0_0
165,GLCA,Glen Canyon National Recreation Area,UT,IM,National Recreation Area,5059.462033,SCPN,Southern Colorado Plateau Network,1,NA,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.274314763,0.421975631,NA,0.091102513,0.523076923,0.492967241,0.761716308,0.439503821,0.108509708,0.493033959,0.241620272,0.109460845,0.091604484,0.476190476,0.050359626,0.586495986,0.346160969,0.42252615,0,0.909479574,0.589097726,0.171607451,1.990097627,NA,1.591451876,1,NA,3,2,NA,3,0,1,0_1,1,0,0,0,0,1,Drought,0,0,0,0,0,0,0_0_0
166,GOGA,Golden Gate National Recreation Area,CA,PW,National Recreation Area,333.7310506,SFAN,San Francisco Bay Area Network,1,NA,MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,MEDITERRANEAN CALIFORNIA,0.799085745,1,NA,0.048861529,0.48,0.270743002,0.851848249,0.399236095,0.318233691,0.05350181,0.446300994,0.082211494,0.070253421,1,0.647508119,0.286207929,0.584398906,0.516319909,0.008440713,0,0.146254412,0.581258697,2.369238162,NA,1.424893771,4,NA,2,3,NA,3,1,1,1_1,0,0,0,0,0,1,Fire,1,0,0,1,1,0,0_iva_0
167,GOSP,Golden Spike National Historic Site,UT,IM,National Historic Site,10.80466212,NCPN,Northern Colorado Plateau Network,1,NA,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.813253558,0.140491162,NA,0.31292421,0.3,0.565875048,0.516942938,0.553429461,0.269883634,0.309729184,0.353358056,0,0.093326836,0.333333333,0.111401065,0.580247565,0.209272345,0.420020678,0,0.923175607,0.767728939,0.122174201,2.049907038,NA,1.789417496,2,NA,4,3,NA,4,0,1,0_1,1,0,0,0,0,1,Drought,1,1,0,0,0,0,0_0_0
168,GOIS,Governors Island National Monument,NY,NE,National Monument,0.092209297,NA,NA,NA,NA,EASTERN TEMPERATE FORESTS,SOUTHEASTERN USA PLAINS,INTERIOR SOUTHEAST PLAINS AND FOREST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63929083,NA,NA,3,NA,NA,3,0,0,0_0,0,1,0,1,0,1,SLR,0,0,0,0,1,0,0_iva_0
169,GRCA,Grand Canyon National Park,AZ,IM,National Park,4868.796602,SCPN,Southern Colorado Plateau Network,1,1,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.628106363,0.439585682,0.5,0.034929546,0.65,0.486001614,0.843769766,0.379446053,0.117780779,0.512559307,0.443738569,0.183336441,0.067556021,0.296296296,0.06164271,0.426937199,0.242006195,0.324418381,0,0.888998228,0.467198322,0.226629347,2.028028806,2.1432127,1.560961729,1,3,2,2,3,3,0,1,0_1,1,0,0,0,1,1,Drought_Pest,0,0,0,0,0,0,0_0_0
170,GRPO,Grand Portage National Monument,MI,MW,National Monument,2.866402507,GLKN,Great Lakes Network,1,1,NORTHERN FORESTS,MIXED WOOD SHIELD,NORTHERN FORESTS AND PLAINS,0.628106363,0.149274022,0,0.134913252,0.8,0.048962851,0.758475009,0.56610929,0.123169234,0.152102696,0.130954103,0.122949594,0.443858897,0.333333333,0.11861543,0.511709939,0.329463066,0.695496456,0,0.572498698,0.862847401,0.088480264,2.073673966,2.008922517,1.509866031,2,2,2,1,1,1,0,0,0_0,0,0,0,0,1,1,Pest,0,0,0,1,0,0,0_0_0
171,GRTE,Grand Teton National Park,WY,IM,National Park,1254.582398,GRYN,Greater Yellowstone Network,1,1,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.80977633,0.100063805,0,0.122851707,0.5,0.214430591,0.136793576,0.335539417,0.122787589,0.516529615,0.542597051,0.317036424,0.078412197,0.555555556,0.124299602,0.635997592,0.391798303,0.451842495,0,0.486470335,0.776576892,0.19564073,1.937866776,2.022223169,1.657867234,1,2,3,1,3,2,0,1,0_1,0,0,0,0,1,1,Pest,0,0,1,1,0,0,nrva_0_0
172,GRKO,Grant-Kohrs Ranch National Historic Site,MT,IM,National Historic Site,6.383488278,ROMN,Rocky Mountain Network,1,NA,NORTHWESTERN FORESTED MOUNTAINS,WESTERN CORDILLERA,NORTHWESTERN FORESTED MOUNTAINS,0.274314763,0.001224665,NA,0.079970275,0.8,0.356905295,0.369160858,0.255140016,0.223257506,0.498699668,0.702353083,0.355222891,0.234163924,0.833333333,0.203654714,0.682258934,0.316968405,0.388309255,0,0.603618258,0.749054084,0.130501074,2.101994672,NA,1.63778265,2,NA,3,2,NA,2,1,1,1_1,0,0,0,0,1,1,Fire_Pest,0,0,0,0,0,0,0_0_0
173,GRBA,Great Basin National Park,NV,PW,National Park,311.6126984,MOJN,Mojave Desert Network,1,1,NORTH AMERICAN DESERTS,COLD DESERTS,NORTH AMERICAN DESERTS AND SEMIARID,0.67273064,0.226151996,0,0.081742505,0.55,0.345100838,0.644802227,0.354002236,0.052093637,0.564705509,0.47507366,0.160951466,0.225308599,0.222222222,0.028102307,0.578046579,0.314428908,0.59678471,0,0.956671837,0.697047886,0.1507918,2.08811118,1.929218883,1.797379761,2,2,4,3,2,4,1,1,1_1,0,0,0,0,1,1,Fire_Pest,1,1,0,0,0,0,0_0_0
